District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",6,66.22,19,45.4,0,15,0,1.2,8,0,34.05,11.34,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,28.4,19,68,0,0,0,2.5,7,0,34,11.34,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",19,140,19,22.7,0,15,0,1,5,0,22.7,22,1,N.A.,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",14,0,19.35,46.35,0,0,0,3,8,0,11.35,3.78,1,N/A,0,0,0,0,0,0,0,
"Ash-Shurūq , الشروق","Tuesday, October 31st 2023",14,340.56,19.656,22.7,0,15,0,2.67,8,0,11.35,0.945,0.83,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",11,0,19.656,90.8,0,0,0,1.2,2,0,22.7,1.5,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",9,104.06,19.9,34.05,0,0,0,0.92,0,0,0,0,0,hanging around,4,0,3.78,11.35,0.69,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",12,145,20,35,0,0,0,2,8,0,22.7,8,1,Hanging around,4,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",13,300,20,23,0,0,0,1.5,11,0,23,23,2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",22,20,20,40,0,0,0,2,2,0,11,10,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",16,85.14,20,56.75,0,0,0,2.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,200,20,35,0,0,0,2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,142,20,22.7,0,0,0,1.5,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",3,58.65,20.22,11.35,0,0,0,0,7,0,22.7,4.53,1.2,Café,3,0,2.268,11.35,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,47.3,20.79,22.7,0,0,0,1.5,0,0,0,0,0,restaurant/mall,5,0,5.67,11.35,0.69,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",8,0,20.79,22.7,0,0,0,0.46,5,0,11.35,4.15,0.6,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",24,0,20.79,45.4,0,0,0,1.8,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",9,37.84,20.79,22.7,0,0,0,1.2,5,0,0,3.78,0.6,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",8,131,21,47,0,0,0,1.2,7,0,22.7,9,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,141.9,21.168,45.4,0,0,0,2,0,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Hada'iq al-Qubbah  , حدائق القبة","Wednesday, November 1st 2023",24,0,21.294,45.4,0,0,0,4.2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",5.5,11.352,21.4483,22.7,0,0,0,1,5.5,0,11.35,1.89,0.4,My old School,1,0,0.63,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",11.5,0,22.3,11.35,0,0,0,0.3,7,0,0,0,0.3,Club,3.5,0,7.56,11.35,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 29th 2023",11,0,22.3,0,3.785,0,0,0.5,11,0,11.35,3.8,0.5,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",8,0,22.5,34.05,0,0,0,1.84,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Sunday, October 29th 2023",16,94.8,22.6,78.1,0,0,0,1,6,0,11.35,3.78,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",21,94.6,22.67,5.675,0,0,0,5.4,3,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",15,189.2,22.68,45.4,0,0,0,4.2,0,0,0,0,0,Mall ,9,0,7.56,0,2.4,0,0,
"Ash-Shurūq , الشروق","Tuesday, October 31st 2023",9,189.2,22.68,34.05,0,0,0,2.4,0,0,0,0,0,Egyptian Food Bank,2.5,0,18.9,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",9,132.44,22.68,34.05,0,0,0,0.69,0,0,0,0,0,club,4,0,7.56,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9,94.6,22.68,0,0,0,0,4.2,0,0,0,0,0,Club,2,0,0,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",5,56.76,22.68,34.05,0,0,0,3,5,0,11.35,11.34,2,restaurant ,5,0,3.78,0,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",8,94.6,22.68,25.4,0,0,0,2.4,6,0,0,9.5,1.6,GYM,2,0,5.8,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",18,47.3,22.68,68.1,0,0,80,1.8,0,0,0,0,0,Hanging around ,6,0,3.78,0,0.6,0,0,
"Ash-Shurūq , الشروق","Monday, October 30th 2023",15,0,22.68,34.05,75.7,0,0,0.4,6.5,0,0,0,0.4,Gym ,2,0,3.78,0,0.6,0,0,
"Al-Jīzah [Giza] , الجيزة","Monday, October 30th 2023",15,122.98,22.68,34.05,22.71,7.5,0,1.2,6,0,0,15.12,0.46,Grandmother’s house ,2,0,7.56,11.35,0.46,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",7,37.84,22.68,45.4,0,0,0,1.43,5,0,0,3.78,1.06,restaurant ,4,0,3.78,0,0.23,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 30th 2023",15,94.5,22.68,45.4,0,0,0,1.5,4,0,11.35,5.67,0,Friend’s house,2.5,0,1.89,0,0.23,0,0,
AUC Dorm,"Thursday, November 2nd 2023",15,141.9,22.68,34.05,0,0,0,0,7,0,0,0,0.6,restaurent,5,0,7.56,11.35,0,0,0,
"Al-Muqaṭṭam , المقطم","Thursday, November 2nd 2023",10,18.92,22.68,45.4,0,0,0,3.83,4,0,11.35,11.34,1.2,Car,10,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",8,56.76,22.68,45.4,0,0,0,1.2,3,0,11.35,3.78,0.6,district 5,2,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",11,189.2,22.68,45.4,0,0,0,2.4,13,0,45.4,26.46,2.4,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",16,0,22.68,56.75,0,0,0,1.2,7,0,22.7,7.56,1.2,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",15,85.14,22.68,68.1,0,0,0,4.8,9,0,11.35,1.89,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",11,0,22.68,22.7,0,0,0,1.89,5,0,0,0,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,0,22.68,45.4,22.71,15,0,2.4,8,0,11.34,7.56,1.12,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",16,189.2,22.68,56.75,0,0,0,1,8,0,11.35,11.34,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",9,141.9,22.68,22.7,0,0,0,1.8,5,0,11.35,5.67,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",17,75.6,22.68,22.7,0,0,0,2,7,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",18,141.9,22.68,56.75,0,0,0,3,6,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",16,47.3,22.68,45.4,0,0,0,0.6,8,0,11.35,1.89,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",17,0,22.68,56.75,0,0,0,5.4,5,0,11.35,1.89,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17.5,378.4,22.68,45.4,0,15,0,1.8,6.5,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",18,104.06,22.68,45.4,0,0,0,3.6,6,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",6,0,22.68,34.05,22.71,30,4000,0.6,5,0,0,0,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",20,122.98,22.68,45.4,37.85,15,0,1,4,0,0,7.56,0.4,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Wednesday, November 1st 2023",17,0,22.68,22.7,53,0,0,0.8,7,0,0,0,0.4,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",14,94.6,22.68,56.75,0,30,3,0.3,7,0,0,11.34,0.3,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, November 1st 2023",7,236.5,22.68,45.4,0,0,0,1.4,7,0,0,0,0.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",16,85.14,22.68,56.75,0,0,0,0.18,8,0,34.05,11.34,0.18,N/A,0,0,0,0,0,0,0,
"Az-Zamālik [Zamalek] , الزمالك","Wednesday, November 1st 2023",16,0,22.68,34.05,0,30,0,0.83,6,0,11.35,3.78,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Tuesday, October 31st 2023",13.5,60.54,22.68,22.7,0,0,0,0,10.5,0,0,1.89,0,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, November 2nd 2023",6,113.52,22.68,34.05,0,0,0,2.66,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 29th 2023",13,141.9,22.68,147.55,0,0,0,2.6,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",14,132.44,22.68,45.4,0,0,0,2.49,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,0,22.68,79.45,0,60,0,2.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",24,0,22.68,68.1,0,0,0,2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",6,151.36,22.68,34.05,0,0,0,1.33,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Miṣr al-Qadīmah [Old Cairo] , مصر القديمة","Tuesday, October 31st 2023",12,0,22.68,45.4,0,0,0,1.15,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",20,283.8,22.68,56.75,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",7,56.76,22.68,11.35,0,0,0,0.23,10,0,0,0,0.6,I didn't go to any other lace this day ,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",7,141.9,22.71,22.7,0,0,0,1.2,5,0,11.35,3.78,0.6,restaurant,2,0,0,0,0.23,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",7,189.2,22.71,11.35,0,0,0,0.6,8,0,11.35,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",15,190,23,46,0,0,0,2,9,0,23,12,1.5,N/A,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Thursday, November 2nd 2023",18,57,23,77,0,15,0,2.2,4,0,22.7,8,0.6,N/A,0,0,0,0,0,0,0,
"Al-Jīzah [Giza] , الجيزة","Monday, October 30th 2023",4,94.6,23.25,11.35,0,0,0,0.7,8.5,0,22.7,9.45,1.6,N/A,0,0,1.134,0,0.4,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",10,34.056,23.436,34.05,0,0,0,1,0,0,0,0,0,Restaurant,2,0,3.4,11.35,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",21,137.23,24.39,68.1,0,0,0,4.8,0,0,0,0,0,restaurant,3,0,0,0,0,0,0,
AUC Dorm,"Tuesday, October 31st 2023",22,137.17,24.57,34.05,67.38,0,0,2.73,2,0,0,0,0,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",6,47.3,24.68,56.75,0,0,0,0.83,5,0,0,0,0,restaurant ,6,0,7.56,0,1.06,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",10,150,25,45,0,15,1,3.4,5,0,11.35,3.78,1.5,N/A ,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",10,94.6,25,40,20,0,0,2,6,0,23,11,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",12,113,25,34,0,0,0,2,5,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,20,25,40,0,0,0,4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, November 1st 2023",10,94.6,26,56,30.5,0,0,1.5,6,0,23,10,1.5,N/A,0,0,0,0,0,0,0,
"Al-Ahrām , الأهرام","Tuesday, October 31st 2023",14,0,26.082,45.4,170.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,0,26.25,45.4,0,0,0,1,7,0,11.35,3.75,1,N/A ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",9,113.52,26.25,34.05,0,0,0,1.5,7,0,0,7.65,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",7,122.98,26.46,34.05,0,0,0,3.5,6,0,28.38,11.34,4,club,3,9.46,3.78,0,4,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",6,217.58,26.46,102.15,15.12,0,0,0.5,0,0,0,0,0,restaurant ,3,0,9.45,22.7,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",16,104.06,26.46,22.7,0,0,0,1,6,0,11.35,7.56,1,training,2,0,3.78,0,1,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",14,189.2,26.46,56.75,0,15,3,1.8,5,0,22.7,3.78,0.6,restaurant ,2,0,1.89,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",7,179.74,26.46,34.05,0,0,0,1.5,4,0,0,3.78,0.6,Training,4,0,0,0,0.6,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",20,208.12,26.46,45.4,0,0,0,3.6,0,0,0,0,0,Restaurant ,4,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",18,253.8,26.46,11.35,15.14,0,0,1,0,0,0,0,0,restaurant and walking,6,0,0,0,0.23,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",22,94.6,26.46,56.75,75.7,15,0,0.6,0,0,0,0,0,mall,2,0,0,0,0.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",8,0,26.46,22.7,0,0,0,1.29,6,0,0,0,1.2,N/A,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 31st 2023",11,99.33,26.46,68.1,52.99,0,0,2,6,0,22.7,18.9,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,47,26.46,79.45,0,0,0,3,7,0,34,11.34,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",18,208.12,26.46,68.1,90.84,0,2.4,2.8,5,0,22.7,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",14,283.8,26.46,56.75,0,15,3,0.46,7.5,0,11.35,7.56,0.6,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",8,333.1,26.46,45.4,0,0,0,1,6,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",17,245.96,26.46,45.4,0,15,0,0.46,6,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",22,94.6,26.46,56.75,0,15,0,1.2,2,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,189.2,26.46,56.75,0,15,1800,2.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",24,94.6,26.46,68.1,0,0,0,2,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",6,104.06,26.46,45.4,0,0,0,1.5,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",13,94.6,26.46,56.75,0,0,0,0.4,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",16,56.76,26.46,22.7,0,0,0,1.2,0,0,0,0,0,I didn't go to any other place this day ,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",21,0,26.46,45.4,0,0,0,2.4,3,0,0,0,0,0,0,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",14,75,27,23,0,0,0,2,11,0,0,0,0,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",19,66.22,28.35,2.27,0,0,0,3.6,5,0,0,0,1.2,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",20,0,28.35,3.405,0,0,0,4.8,0,0,0,0,0,N/A,0,0,0,0,0,0,0,
AUC Dorm,"Monday, October 30th 2023",4,149.47,28.35,22.7,41.64,0,0,3.46,4,0,0,0,0.23,0,0,0,0,0,0,0,0,
"Al-Ma'ādī [Maadi] , المعادي","Thursday, November 2nd 2023",12,0,28.7,34.1,0,0,0,0.3,10.5,0,0,3.78,1,N/A,0,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 30th 2023",10,141.9,30.028,34,0,0,1600,1,7,0,11.35,1.89,0,mall,7,0,0,0,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",15,160.82,30.24,22.7,0,0,0,1.2,4,0,11.3,3.78,0.6,hanging out,5,0,3.78,11.35,0.6,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 29th 2023",16,94.6,30.24,56.75,0,0,0,1.8,6,0,0,0,0.6,restaurent ,2,0,0,0,0,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Thursday, November 2nd 2023",21,189.2,30.24,79.45,0,0,0,1.4,2,0,0,3.78,0.6,mall ,1,0,0,0,0,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 31st 2023",14,302.72,30.24,79.45,0,0,0,1.2,0,0,0,0,0,N/A ,0,0,0,0,0,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 29th 2023",13,170.28,30.24,56.75,113.55,0,3,3,9,0,34.05,11.34,2,N/A,0,0,0,0,0,0,0,
"Al-Muqaṭṭam , المقطم","Wednesday, November 1st 2023",12,28.38,30.24,34.05,0,0,0,4.15,12,0,22.7,11.34,1.2,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",18,236.5,30.24,34.05,0,0,0,0.575,6,0,22.7,15.12,0.6,N/A,0,0,0,0,0,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 29th 2023",15,208.12,30.24,11.35,0,0,0,0.6,9,0,11.35,0.6048,0.2,N/A,0,0,0,0,0,0,0,
